beta_requested,rep,d,m_edges,beta_formula,rank_B,numerical_nullity,rank_tolerance,R_hidden,D_hidden,H_hidden,max_abs_Ah,l2_Ah
0,0,12,11,0,11,0,6.1729880124261675e-15,0.0,0.0,0.0,0.0,0.0
0,1,12,11,0,11,0,5.869968700016099e-15,0.0,0.0,0.0,0.0,0.0
0,2,12,11,0,11,0,6.2584175579569876e-15,0.0,0.0,0.0,0.0,0.0
0,3,12,11,0,11,0,6.198537693737089e-15,0.0,0.0,0.0,0.0,0.0
0,4,12,11,0,11,0,5.283479581168802e-15,0.0,0.0,0.0,0.0,0.0
0,5,12,11,0,11,0,6.18606357680285e-15,0.0,0.0,0.0,0.0,0.0
0,6,12,11,0,11,0,5.675800661254006e-15,0.0,0.0,0.0,0.0,0.0
0,7,12,11,0,11,0,5.8988916349929645e-15,0.0,0.0,0.0,0.0,0.0
0,8,12,11,0,11,0,5.891244833988448e-15,0.0,0.0,0.0,0.0,0.0
0,9,12,11,0,11,0,5.887026274543772e-15,0.0,0.0,0.0,0.0,0.0
0,10,12,11,0,11,0,5.782271958912328e-15,0.0,0.0,0.0,0.0,0.0
0,11,12,11,0,11,0,6.107204351577158e-15,0.0,0.0,0.0,0.0,0.0
0,12,12,11,0,11,0,6.1606879854873384e-15,0.0,0.0,0.0,0.0,0.0
0,13,12,11,0,11,0,6.235637908377674e-15,0.0,0.0,0.0,0.0,0.0
0,14,12,11,0,11,0,6.1653084020071085e-15,0.0,0.0,0.0,0.0,0.0
0,15,12,11,0,11,0,5.782271958912326e-15,0.0,0.0,0.0,0.0,0.0
0,16,12,11,0,11,0,6.6516731715519975e-15,0.0,0.0,0.0,0.0,0.0
0,17,12,11,0,11,0,6.118099706806523e-15,0.0,0.0,0.0,0.0,0.0
0,18,12,11,0,11,0,5.627473783639657e-15,0.0,0.0,0.0,0.0,0.0
0,19,12,11,0,11,0,5.675600120995542e-15,0.0,0.0,0.0,0.0,0.0
0,20,12,11,0,11,0,6.159189270225529e-15,0.0,0.0,0.0,0.0,0.0
0,21,12,11,0,11,0,6.242498660937171e-15,0.0,0.0,0.0,0.0,0.0
0,22,12,11,0,11,0,5.959628957213887e-15,0.0,0.0,0.0,0.0,0.0
0,23,12,11,0,11,0,6.03844300581266e-15,0.0,0.0,0.0,0.0,0.0
0,24,12,11,0,11,0,6.654395852871002e-15,0.0,0.0,0.0,0.0,0.0
0,25,12,11,0,11,0,5.9056785414190665e-15,0.0,0.0,0.0,0.0,0.0
