k,rep,target_R,min_target_allocation,max_target_allocation,has_negative_target_allocation,max_allocation_error,max_transfer_error,corner_error,pot_conservation_error,planted_zero_sum_error
2,0,0.46428959016667065,0.03571040983332935,0.9642895901666706,False,2.914335439641036e-16,2.7755575615628914e-16,2.220446049250313e-16,0.0,0.0
2,1,0.4345359955928628,0.06546400440713718,0.9345359955928629,False,2.3592239273284576e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.551115123125783e-17
2,2,0.4479335170848708,0.052066482915129164,0.9479335170848708,False,4.440892098500626e-16,3.885780586188048e-16,2.220446049250313e-16,0.0,5.551115123125783e-17
2,3,0.32575857212349973,0.17424142787650027,0.8257585721234997,False,1.942890293094024e-16,1.6653345369377348e-16,0.0,0.0,0.0
2,4,0.3674018629339623,0.13259813706603768,0.8674018629339624,False,3.3306690738754696e-16,2.7755575615628914e-16,0.0,0.0,0.0
2,5,0.833691148607861,-0.333691148607861,1.333691148607861,True,5.551115123125783e-16,5.551115123125783e-16,0.0,4.440892098500626e-16,0.0
2,6,0.9554905786610699,-0.4554905786610699,1.45549057866107,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.0
2,7,0.6834185682589553,-0.18341856825895853,1.183418568258952,True,6.439293542825908e-15,6.328271240363392e-15,0.0,4.440892098500626e-16,6.439293542825908e-15
2,8,0.6452842991324137,-0.1452842991324137,1.1452842991324137,True,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0
2,9,0.9029424321762883,-0.40294243217628833,1.4029424321762884,True,6.661338147750939e-16,6.661338147750939e-16,0.0,0.0,0.0
2,10,0.4667731642726854,0.03322683572731461,0.9667731642726853,False,4.440892098500626e-16,4.996003610813204e-16,0.0,2.220446049250313e-16,0.0
2,11,0.6732219923620375,-0.1732219923620376,1.1732219923620375,True,6.661338147750939e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16
2,12,0.5102742381408645,-0.010274238140864478,1.0102742381408645,True,3.365363543395006e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,0.0
2,13,0.6084837684905153,-0.10848376849051533,1.1084837684905153,True,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0
2,14,0.5851279646354641,-0.08512796463546413,1.0851279646354641,True,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0
2,15,0.8057369477497314,-0.30573694774973126,1.3057369477497311,True,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,0.0
2,16,0.12352579799092887,0.3764742020090711,0.6235257979909289,False,1.1102230246251565e-16,9.71445146547012e-17,0.0,0.0,0.0
2,17,0.3284637952278867,0.1715362047721133,0.8284637952278867,False,2.498001805406602e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0
2,18,0.07526969286446322,0.42473030713553683,0.5752696928644633,False,1.1102230246251565e-16,9.71445146547012e-17,0.0,0.0,8.326672684688674e-17
2,19,0.906870209841115,-0.4068702098411151,1.4068702098411152,True,6.661338147750939e-16,5.551115123125783e-16,0.0,0.0,0.0
2,20,0.30684903605759106,0.19315096394240888,0.8068490360575911,False,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,5.551115123125783e-17
