ell,p,R,D,H,R_expected,D_expected,H_expected,R_error,D_error,H_error,max_full_bshap_vs_pot_sum,max_full_ig_vs_pot_sum,max_aggregate_ig_minus_bshap,corner_game_baseline_value,corner_game_full_value
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3,2,0.49999999999999983,5.828670879282072e-16,0.4999999999999992,0.5,0.0,0.5,1.6653345369377348e-16,5.828670879282072e-16,7.771561172376096e-16,0.0,1.1102230246251565e-16,5.551115123125783e-16,0.0,3.0
3,3,0.7499999999999991,1.8318679906315083e-15,0.7499999999999973,0.75,0.0,0.75,8.881784197001252e-16,1.8318679906315083e-15,2.6645352591003757e-15,0.0,1.1102230246251565e-16,1.3322676295501878e-15,0.0,3.0
3,5,0.9999999999999976,3.9968028886505635e-15,0.9999999999999936,1.0,0.0,1.0,2.4424906541753444e-15,3.9968028886505635e-15,6.439293542825908e-15,0.0,1.1102230246251565e-16,2.7755575615628914e-15,0.0,3.0
3,9,1.1999999999999937,7.743805596760467e-15,1.199999999999986,1.2000000000000002,0.0,1.2000000000000002,6.439293542825908e-15,7.743805596760467e-15,1.4210854715202004e-14,0.0,1.1102230246251565e-16,5.218048215738236e-15,0.0,3.0
3,20,1.3571428571428417,1.7236212457305555e-14,1.3571428571428243,1.3571428571428572,0.0,1.3571428571428572,1.554312234475219e-14,1.7236212457305555e-14,3.2862601528904634e-14,0.0,1.1102230246251565e-16,1.1546319456101628e-14,0.0,3.0
4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4,2,0.6666666666666662,1.4432899320127035e-15,0.6666666666666647,0.6666666666666666,0.0,0.6666666666666666,4.440892098500626e-16,1.4432899320127035e-15,1.887379141862766e-15,0.0,1.1102230246251565e-16,7.771561172376096e-16,0.0,4.0
4,3,0.9999999999999984,2.886579864025407e-15,0.9999999999999956,1.0,0.0,1.0,1.5543122344752192e-15,2.886579864025407e-15,4.440892098500626e-15,0.0,1.1102230246251565e-16,1.3322676295501878e-15,0.0,4.0
4,5,1.3333333333333297,5.551115123125783e-15,1.3333333333333242,1.3333333333333333,0.0,1.3333333333333333,3.552713678800501e-15,5.551115123125783e-15,9.103828801926284e-15,0.0,1.1102230246251565e-16,2.6645352591003757e-15,0.0,4.0
4,9,1.5999999999999917,1.0547118733938987e-14,1.599999999999981,1.6,0.0,1.6,8.43769498715119e-15,1.0547118733938987e-14,1.9095836023552692e-14,0.0,0.0,5.329070518200751e-15,0.0,4.0
4,20,1.8095238095237889,2.298161660974074e-14,1.8095238095237658,1.8095238095238095,0.0,1.8095238095238095,2.0650148258027912e-14,2.298161660974074e-14,4.374278717023117e-14,0.0,0.0,1.1435297153639112e-14,0.0,4.0
6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6,2,0.9999999999999994,1.9984014443252818e-15,0.9999999999999974,1.0,0.0,1.0,5.551115123125783e-16,1.9984014443252818e-15,2.55351295663786e-15,0.0,1.1102230246251565e-16,7.771561172376096e-16,0.0,6.0
6,3,1.499999999999998,4.218847493575595e-15,1.4999999999999938,1.5,0.0,1.5,1.9984014443252818e-15,4.218847493575595e-15,6.217248937900877e-15,0.0,2.220446049250313e-16,1.5543122344752192e-15,0.0,6.0
6,5,1.9999999999999947,8.271161533457416e-15,1.9999999999999865,2.0,0.0,2.0,5.329070518200751e-15,8.271161533457416e-15,1.354472090042691e-14,0.0,1.1102230246251565e-16,2.6645352591003757e-15,0.0,6.0
6,9,2.3999999999999875,1.582067810090848e-14,2.3999999999999715,2.4000000000000004,0.0,2.4000000000000004,1.2878587085651816e-14,1.582067810090848e-14,2.886579864025407e-14,0.0,1.1102230246251565e-16,5.329070518200751e-15,0.0,6.0
6,20,2.714285714285683,3.4583447217073626e-14,2.7142857142856482,2.7142857142857144,0.0,2.7142857142857144,3.1530333899354446e-14,3.4583447217073626e-14,6.616929226765933e-14,0.0,2.220446049250313e-16,1.1435297153639112e-14,0.0,6.0
8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.992007221626409e-16,0.0,9.992007221626409e-16,0.0,8.0
8,2,1.3333333333333324,2.886579864025407e-15,1.3333333333333295,1.3333333333333333,0.0,1.3333333333333333,8.881784197001252e-16,2.886579864025407e-15,3.774758283725532e-15,9.992007221626409e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,8.0
8,3,1.999999999999997,5.773159728050814e-15,1.9999999999999911,2.0,0.0,2.0,3.1086244689504383e-15,5.773159728050814e-15,8.881784197001252e-15,9.992007221626409e-16,1.1102230246251565e-16,6.661338147750939e-16,0.0,8.0
8,5,2.6666666666666594,1.1102230246251565e-14,2.6666666666666483,2.6666666666666665,0.0,2.6666666666666665,7.105427357601002e-15,1.1102230246251565e-14,1.8207657603852567e-14,9.992007221626409e-16,1.1102230246251565e-16,1.9984014443252818e-15,0.0,8.0
8,9,3.1999999999999833,2.1094237467877974e-14,3.199999999999962,3.2,0.0,3.2,1.687538997430238e-14,2.1094237467877974e-14,3.8191672047105385e-14,9.992007221626409e-16,0.0,4.6629367034256575e-15,0.0,8.0
8,20,3.6190476190475778,4.596323321948148e-14,3.6190476190475316,3.619047619047619,0.0,3.619047619047619,4.1300296516055823e-14,4.596323321948148e-14,8.748557434046234e-14,9.992007221626409e-16,0.0,1.0769163338864018e-14,0.0,8.0
