family,seed,audit_id,dataset_index,target,resolved,certification_pass,quadrature_order,numerical_tolerance,nested_quadrature_error,endpoint_change,R,D,H,chi,R_over_s,D_over_s,H_over_s,max_abs_transfer_entry,pot_conservation_error,bshap_reconstruction_error,ig_reconstruction_error,bshap_completeness_error,ig_completeness_error,margin_gap_error,interior_mobius_reconstruction_error
additive,20260840,0,18834,0.557,True,True,32,3.250886749983377e-08,6.492584248007915e-13,-0.9882363504531388,5.555278459468127e-14,5.639338202761175e-16,5.4988850774405155e-14,,1.7088501958724132e-14,1.73470767715609e-16,1.6915031191008526e-14,4.810966440042345e-16,2.886579864025407e-15,2.6645352591003757e-15,0.0,1.887379141862766e-15,0.0,2.0821968488029422e-15,4.440892098500626e-16
additive,20260840,1,12797,0.598,True,True,32,3.250886749983377e-08,2.220446049250313e-16,-0.6600047243957556,7.075069696771408e-14,8.864767385760721e-16,6.9864220229138e-14,,2.1763507131731318e-14,2.7268767162701223e-16,2.1490819460104306e-14,6.291263806209221e-16,3.774758283725532e-15,1.5543122344752192e-15,0.0,6.661338147750939e-16,2.220446049250313e-16,1.5971351225679042e-15,4.440892098500626e-16
additive,20260840,2,19817,0.656,True,True,32,3.250886749983377e-08,2.7755575615628914e-17,-0.9789413111730261,1.784163095042146e-14,4.475421356260547e-16,1.7394088814795406e-14,,5.48823515630395e-15,1.3766771039573838e-16,5.350567445908212e-15,4.440892098500626e-16,8.881784197001252e-16,6.106226635438361e-16,0.0,5.551115123125783e-16,6.661338147750939e-16,5.773159728050814e-16,4.440892098500626e-16
additive,20260840,3,2319,0.682,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.6957926135946113,2.8453368133840584e-14,3.565311075471283e-16,2.8096837026293456e-14,,8.752494418326346e-15,1.0967195567454061e-16,8.642822462651806e-15,3.108624468950438e-16,1.5543122344752192e-15,7.771561172376096e-16,0.0,1.9984014443252818e-15,8.881784197001252e-16,7.145078179909043e-16,4.440892098500626e-16
additive,20260840,4,2961,0.699,True,True,32,3.250886749983377e-08,2.7755575615628914e-17,0.0338926153262431,3.3181790648484366e-14,5.470491784432765e-16,3.263474147004109e-14,,1.0206996798228678e-14,1.6827691042946168e-16,1.0038719887799218e-14,5.551115123125783e-16,1.1102230246251565e-15,4.996003610813204e-16,0.0,6.661338147750939e-16,2.220446049250313e-16,5.448022985124875e-16,4.440892098500626e-16
additive,20260840,5,9528,0.7,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.36362237313368784,7.802959667291276e-14,7.508709262825704e-16,7.727872574663019e-14,,2.400255766317044e-14,2.309741876693828e-16,2.3771583475501058e-14,7.61295788314393e-16,5.329070518200751e-15,2.220446049250313e-16,0.0,1.27675647831893e-15,7.216449660063518e-16,4.953709400351294e-16,4.440892098500626e-16
additive,20260840,6,2903,0.725,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,0.18440671429943123,4.4825254619240695e-14,5.667424201896035e-16,4.425851219905109e-14,,1.3788623863771909e-14,1.7433471657925378e-16,1.3614289147192655e-14,5.551115123125783e-16,2.886579864025407e-15,1.3322676295501878e-15,0.0,2.275957200481571e-15,5.551115123125783e-16,1.3779982446121288e-15,4.440892098500626e-16
additive,20260840,7,2561,0.741,True,True,32,3.250886749983377e-08,5.284661597215745e-14,-0.25863856615445435,5.41962308364674e-14,7.524073956470074e-16,5.3443823440820393e-14,,1.6671214657583664e-14,2.3144681851831804e-16,1.6439767839065346e-14,8.881784197001252e-16,2.220446049250313e-15,2.886579864025407e-15,0.0,2.7200464103316335e-15,4.996003610813204e-16,2.927023702779609e-15,4.440892098500626e-16
additive,20260840,8,9579,0.797,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.608745721929443,5.5310140148479014e-14,5.068882648274183e-16,5.48032518836516e-14,,1.7013862494213873e-14,1.5592307693585763e-16,1.6857939417278015e-14,5.181040781584064e-16,3.1086244689504383e-15,7.771561172376096e-16,0.0,1.7763568394002505e-15,2.220446049250313e-16,9.547918011776348e-16,4.440892098500626e-16
additive,20260840,9,12279,0.819,True,True,32,3.250886749983377e-08,2.886579864025407e-15,-0.606042002209076,3.893716946090642e-14,8.126394729093157e-16,3.81245299879971e-14,,1.1977399539096684e-14,2.4997471010439567e-16,1.1727424828992288e-14,6.661338147750939e-16,1.9984014443252818e-15,3.552713678800501e-15,0.0,1.1102230246251565e-15,2.220446049250313e-16,3.4221303039993514e-15,4.440892098500626e-16
additive,20260840,10,5210,0.904,True,True,32,3.250886749983377e-08,4.218847493575595e-15,-0.19577056204826904,4.081804338973427e-14,6.828202024963948e-16,4.013522318723788e-14,,1.2555972117436262e-14,2.1004121490848191e-16,1.2345930902527781e-14,6.661338147750939e-16,1.7763568394002505e-15,8.881784197001252e-16,0.0,2.220446049250313e-15,2.220446049250313e-16,8.757544953769389e-16,4.440892098500626e-16
additive,20260840,11,7482,0.932,True,True,32,3.250886749983377e-08,3.1086244689504383e-15,-0.07763649314762233,4.527816652426936e-14,5.921193336818119e-16,4.468604719058755e-14,,1.3927943360223448e-14,1.8214086777548914e-16,1.3745802492447958e-14,4.440892098500626e-16,1.9984014443252818e-15,1.3322676295501878e-15,0.0,9.992007221626409e-16,2.220446049250313e-16,1.2915594519805987e-15,4.440892098500626e-16
additive,20260840,12,13055,0.961,True,True,32,3.250886749983377e-08,2.220446049250313e-16,-0.26798105614337464,3.815155656672342e-14,6.354725773372039e-16,3.7516083989386216e-14,,1.1735738431035318e-14,1.9547668873437481e-16,1.1540261742300942e-14,7.771561172376096e-16,2.6645352591003757e-15,1.9984014443252818e-15,0.0,6.661338147750939e-16,0.0,1.833982701154604e-15,4.440892098500626e-16
additive,20260840,13,12827,0.962,True,True,32,3.250886749983377e-08,2.220446049250313e-16,-0.22112269569854037,2.2088234019612685e-14,5.298175919152402e-16,2.1558416427697446e-14,,6.794525838134973e-15,1.6297633004839352e-16,6.63154950808658e-15,2.220446049250313e-16,1.1102230246251565e-15,2.498001805406602e-16,0.0,8.326672684688674e-17,5.551115123125783e-17,3.177352560951044e-16,4.440892098500626e-16
additive,20260840,14,2997,1.002,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.343624893889112,3.6640395578713125e-14,3.252647820396416e-16,3.6315130796673484e-14,,1.1270892650720755e-14,1.0005417200131773e-16,1.1170838478719438e-14,3.7007434154171886e-16,2.220446049250313e-15,8.881784197001252e-16,0.0,1.3877787807814457e-15,3.3306690738754696e-16,9.57963866962278e-16,4.440892098500626e-16
additive,20260840,15,5030,1.01,True,True,32,3.250886749983377e-08,8.881784197001252e-16,0.3518128167212513,3.6132555281120915e-14,8.754736353855902e-16,3.525708164573532e-14,,1.1114676720530383e-14,2.693030249023799e-16,1.0845373695628003e-14,8.881784197001252e-16,2.220446049250313e-15,1.7763568394002505e-15,0.0,1.0547118733938987e-15,3.3306690738754696e-16,1.7988256387081406e-15,4.440892098500626e-16
additive,20260840,16,9116,1.026,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.6420900876583617,4.511148399277687e-14,4.341930254490139e-16,4.4677290967327856e-14,,1.3876670417081598e-14,1.3356141226735569e-16,1.3743109004814242e-14,4.440892098500626e-16,2.220446049250313e-15,1.3322676295501878e-15,0.0,4.440892098500626e-16,3.3306690738754696e-16,1.3150856065500368e-15,4.440892098500626e-16
additive,20260840,17,20015,1.034,True,True,32,3.250886749983377e-08,2.7755575615628914e-17,-0.7556560830227141,3.6582716023136896e-14,6.818041501747512e-16,3.5900911872962146e-14,,1.1253149936190167e-14,2.0972866870192803e-16,1.1043421267488239e-14,4.163336342344337e-16,1.1102230246251565e-15,8.881784197001252e-16,0.0,2.220446049250313e-16,6.661338147750939e-16,5.1863275578918e-16,4.440892098500626e-16
additive,20260840,18,1857,1.059,True,True,32,3.250886749983377e-08,6.719069745031447e-13,-0.7223857274222787,6.167700898618289e-14,3.675858394124905e-16,6.13094231467704e-14,,1.8972364689879852e-14,1.130724838121076e-16,1.8859292206067744e-14,5.181040781584064e-16,3.1086244689504383e-15,1.5543122344752192e-15,0.0,1.4432899320127035e-15,9.992007221626409e-16,1.800940349231236e-15,4.440892098500626e-16
additive,20260840,19,19048,1.075,True,True,32,3.250886749983377e-08,3.3306690738754696e-16,0.13928003449987925,4.421105408852766e-14,6.580621877443135e-16,4.355299190078334e-14,,1.3599690634794868e-14,2.0242544214980063e-16,1.3397265192645067e-14,6.661338147750939e-16,1.9984014443252818e-15,2.220446049250313e-15,0.0,3.6637359812630166e-15,2.7755575615628914e-17,2.2637976149737714e-15,4.440892098500626e-16
additive,20260840,20,9519,1.089,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.20211829753390886,4.528950998949899e-14,9.783282814820483e-16,4.431118170801694e-14,,1.3931432705162851e-14,3.009419757507858e-16,1.3630490729412066e-14,1.1102230246251565e-15,1.5543122344752192e-15,1.4432899320127035e-15,0.0,0.0,1.1102230246251565e-15,1.469195135920624e-15,4.440892098500626e-16
additive,20260840,21,2993,1.098,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.17574929172726295,3.5054858321670324e-14,4.052603160461148e-16,3.464959800562421e-14,,1.0783168106932538e-14,1.2466146845877883e-16,1.065850663847376e-14,2.854859206178974e-16,1.9984014443252818e-15,4.996003610813204e-16,0.0,6.106226635438361e-16,6.661338147750939e-16,5.281489531431101e-16,4.440892098500626e-16
additive,20260840,22,11936,1.16,True,True,32,3.250886749983377e-08,2.886579864025407e-15,0.21668713694727693,4.763550665032312e-14,7.231649141948265e-16,4.69123417361283e-14,,1.4653080932630673e-14,2.2245158623213324e-16,1.443062934639854e-14,6.661338147750939e-16,3.1086244689504383e-15,1.5543122344752192e-15,0.0,1.1102230246251565e-16,2.7755575615628914e-16,1.609294708075703e-15,4.440892098500626e-16
additive,20260840,23,9470,1.162,True,True,32,3.250886749983377e-08,2.220446049250313e-16,0.11295288606528175,4.453035162832464e-14,4.010680676458377e-16,4.41292835606788e-14,,1.3697909233089199e-14,1.2337189772848545e-16,1.3574537335360713e-14,6.026924990822279e-16,4.218847493575595e-15,6.661338147750939e-16,0.0,9.43689570931383e-16,4.440892098500626e-16,1.1369212449792377e-15,4.440892098500626e-16
additive,20260840,24,16444,1.167,True,True,32,3.250886749983377e-08,2.220446049250313e-16,-0.06690691335419574,3.006102311520209e-14,4.418918934471586e-16,2.961913122175493e-14,,9.247022559415766e-15,1.3592964856417041e-16,9.111092910851596e-15,3.3306690738754696e-16,2.220446049250313e-15,1.1102230246251565e-15,0.0,6.661338147750939e-16,2.7755575615628914e-16,8.21036360591842e-16,4.440892098500626e-16
additive,20260840,25,12155,1.172,True,True,32,3.250886749983377e-08,5.211386877590485e-13,-0.1104026054121614,4.393881092301655e-14,9.091768343474256e-16,4.3029634088669124e-14,,1.3515946356249174e-14,2.7967041126611824e-16,1.3236275944983057e-14,8.881784197001252e-16,1.5543122344752192e-15,1.7763568394002505e-15,0.0,1.887379141862766e-15,1.6653345369377348e-16,1.5056738924440222e-15,4.440892098500626e-16
additive,20260840,26,13083,1.18,True,True,32,3.250886749983377e-08,3.3306690738754696e-16,-0.1378487092944214,3.810146642635459e-14,4.00539390015064e-16,3.7700927036339524e-14,,1.1720330284206123e-14,1.2320927206003471e-16,1.1597121012146087e-14,4.440892098500626e-16,1.7763568394002505e-15,1.1102230246251565e-15,0.0,2.3314683517128287e-15,3.3306690738754696e-16,1.1266120311791469e-15,4.440892098500626e-16
additive,20260840,27,12928,1.216,True,True,32,3.250886749983377e-08,1.1102230246251565e-16,-0.12986615393607615,4.173689795465215e-14,6.75752817727879e-16,4.106114513692427e-14,,1.2838619479705212e-14,2.07867228143624e-16,1.2630752251561587e-14,5.551115123125783e-16,1.3322676295501878e-15,1.4432899320127035e-15,0.0,2.1649348980190553e-15,5.828670879282072e-16,1.3343823400732834e-15,4.440892098500626e-16
additive,20260840,28,15342,1.256,True,True,32,3.250886749983377e-08,1.196032162198435e-10,0.44964729531285696,3.968938892817686e-14,7.845183662755349e-16,3.890487056190133e-14,,1.220878854927192e-14,2.4132442210715164e-16,1.1967464127164768e-14,8.881784197001252e-16,1.9984014443252818e-15,4.440892098500626e-16,0.0,3.3306690738754696e-16,1.1102230246251565e-16,5.326427130046886e-16,4.440892098500626e-16
