audit_id,dataset_index,target,fc_seed_count,visible_agreement_seed_count,material_hidden_seed_count,median_D_over_s,min_D_over_s,max_D_over_s,std_D_over_s,median_H_over_s,min_H_over_s,max_H_over_s,std_H_over_s,median_chi,fc_seed_fraction
19,19048,1.075,2,2,5,0.0741769287383162,0.0089897865278565,0.2192511054321247,0.07786294878942865,0.4897936061078106,0.2878261487454905,0.8505483594725948,0.19332516414970585,0.9197849029501202,0.4
2,19817,0.656,2,5,2,0.009320585942175,0.0043820892685466,0.0138525371260641,0.0036744527722521146,0.0458578753917029,0.0367837715482914,0.1779387564516183,0.05346442342182219,0.901122287980027,0.4
17,20015,1.034,2,5,2,0.0066136724007305,0.0023908569488705,0.0111961968256291,0.0032426586051741593,0.0236283056182956,0.0168876832306755,0.0746089090820601,0.022765431065415894,0.8759835067072589,0.4
36,2358,1.487,1,1,5,0.0707894131587489,0.0191257511801011,0.0919398470214065,0.03093219960381457,0.1947841537746187,0.140786498570082,0.4866442659741593,0.12590800345885822,0.8410951062147275,0.2
3,2319,0.682,1,1,5,0.0257164544384964,0.0092558855096652,0.0324484902784476,0.00840147959612448,0.1633347034138406,0.0771295953420886,0.2284882266255836,0.05665048306162063,0.8778088589191876,0.2
14,2997,1.002,1,1,5,0.032754715570633,0.0086726260149243,0.0348225612894216,0.009744032351574129,0.1499362561604681,0.0813916910795618,0.3645529840511294,0.10191705221763349,0.8416142180644354,0.2
31,12361,1.375,0,0,5,0.4950244623163226,0.4405580352029188,1.0428841590006035,0.2283386406391014,24.422070591181683,19.18279054867121,33.623253680936024,5.183291154550242,0.9782860541704508,0.0
97,15672,5.00001,0,0,5,1.0138338824399795,0.6612889498468099,1.4028290160909345,0.26241929329360225,14.862427955178758,8.86628810980766,15.446803093406396,2.8719254980953584,0.9355893119093044,0.0
94,9850,5.0,0,0,5,0.4709320766851033,0.1881842324448652,0.4847299996012373,0.12408974536294472,12.25039401620815,7.2039007118126674,19.596084663123143,4.232228691868493,0.967728501088374,0.0
42,12306,1.611,0,0,5,0.477637350673916,0.1296860635318572,0.6146749283439074,0.16747015382492375,11.834056067302752,9.080892630265764,17.500681432995595,2.9271640949060216,0.9557369706255155,0.0
35,9457,1.458,0,0,5,0.2169623046911777,0.1699742263060296,0.6193835568331382,0.1634966829170123,10.243670993501688,5.570631418446292,12.382342397084576,2.5887533427515614,0.9708455242971672,0.0
98,15698,5.00001,0,0,5,0.7999984438945195,0.295167908913347,1.2206624112686266,0.3764045577958167,10.070562614523764,8.755381652774556,17.286137922596957,3.197199761883791,0.9162776953086992,0.0
29,13936,1.286,0,0,5,0.333425300253058,0.1396992509980868,0.4228451233933291,0.12014710575950253,7.463901823684378,5.787895759455367,11.643128562760984,2.0352622002458562,0.9572385132811144,0.0
46,14636,1.663,0,0,5,0.3936206906142412,0.3061518188900818,0.6579385111454644,0.12793051169538133,6.797876259616313,4.103736233533245,10.32767951567986,2.3846245338653795,0.951984568012438,0.0
58,14292,2.032,0,0,5,0.2422273029378433,0.1297569985897008,0.4183542957788102,0.10772416125875753,5.976219904230407,3.270032400905429,8.195091458200661,1.8149058667989504,0.9630396199916392,0.0
80,14381,2.868,0,0,5,0.4476702462436406,0.3267067597536663,0.712221130040547,0.14583533328679782,5.62636010647635,2.979928641278568,8.905984716105108,2.3161282924140156,0.9262976606557176,0.0
99,17110,5.00001,0,0,5,0.6154043606687264,0.3283103194145648,0.826185657578333,0.1859760461490139,5.5407073708731485,4.236560871499727,8.943046716632233,1.7624550911857368,0.8731638972619579,0.0
7,2561,0.741,0,0,5,0.3109516005009892,0.1438242692290817,0.7110135525031335,0.1982340580748489,5.26032004765471,2.8986290182726164,6.488806423095344,1.1972596101816801,0.9351157079173508,0.0
22,11936,1.16,0,0,5,0.1943489342122768,0.0810432461123876,0.3081175339972569,0.08015541351315815,4.864926692344996,3.14216118634811,6.124306363859633,1.2140952408247128,0.9646356001659496,0.0
84,4634,3.0,0,0,5,0.2260582650398924,0.1859386087947191,0.3756351095049853,0.08425009819262858,4.772948240758612,2.8762354146843787,9.820478080183852,2.387244285289851,0.9525613039000072,0.0
96,14807,5.00001,0,0,5,0.4189772891587277,0.1849762987115707,0.7078726411184827,0.18984358031834198,4.625599787695429,2.6229661340773864,6.684274081584971,1.3594787756646651,0.916945011885911,0.0
39,4943,1.563,0,0,5,0.1721723040837416,0.119736706853244,0.2444962732647612,0.04333539906836745,4.268370924430956,3.178591629115807,7.689678315278829,1.8338335314559202,0.9596256196025644,0.0
5,9528,0.7,0,0,5,0.2297418997423224,0.1103242403085315,0.5586248927561757,0.16061127982345796,3.681956242549148,1.848434878688044,5.58921077762057,1.2054004688314575,0.941267988636838,0.0
73,19241,2.542,0,0,5,0.1666486909334141,0.0919661709817655,0.5250034796279625,0.1622313425991776,3.414509122338695,1.4508613741245948,6.7567736463943335,1.8702219850166113,0.967065999593954,0.0
30,243,1.375,0,0,5,0.6229854091606767,0.5365623873894592,1.0008628482970563,0.17040288813211146,3.4059625118217136,2.293412042027378,4.851045416053693,0.9322314117522889,0.8371146297495925,0.0
0,18834,0.557,0,0,5,0.1132028928668567,0.0895700624964383,0.1534839445305158,0.024155867227360153,3.338136383844236,1.691062219858856,3.594779538231238,0.8425425948510045,0.9583699920693644,0.0
55,8280,1.986,0,0,5,0.2069671105142842,0.1095961118274038,0.2945229393074632,0.06745749176132236,3.2398882449578124,1.832840886940164,5.254039752614266,1.2195705500352618,0.9523958005647942,0.0
81,15735,2.875,0,0,5,0.6782355625438539,0.5372743155682267,0.843095026774585,0.11488627446710617,3.01938226336557,1.860806668045603,3.678761011379024,0.7100059336044912,0.8165749965311673,0.0
64,17449,2.231,0,0,5,0.0846796473000952,0.0539244821075099,0.1343269100166941,0.030525896787120047,2.8922147312268303,1.578720861075731,4.456746958377768,0.9912657609434158,0.972902684797523,0.0
92,9313,4.878,0,0,5,0.6920404151108168,0.1983526165488932,0.9041957213797877,0.24251850168515612,2.8803005651156908,1.2535663854073815,3.44153570221275,0.7425812315628099,0.7983043124673238,0.0
20,9519,1.089,0,0,5,0.2864084614816756,0.0535599215028528,0.6880242864884062,0.2087912202783299,2.659835811227216,1.7950648562493725,3.0385760226341705,0.4499280188142811,0.8965126262734917,0.0
57,11110,2.013,0,0,5,0.2428808308035752,0.168559237002433,0.2984672136844498,0.04759653972472623,2.6545764811577586,1.1549047391858387,4.465518841155818,1.1758941392646503,0.9161744920966012,0.0
91,18148,4.473,0,0,5,0.5590733124985989,0.3415603907553313,0.6320487598212358,0.1032798216992246,2.4424096004822475,1.5385937926073825,2.9667831268177416,0.48213381222920276,0.813734301108058,0.0
6,2903,0.725,0,0,5,0.1319616995641094,0.0765916729789418,0.1413636704135572,0.023319191524041636,2.374945565395555,1.4201561564215317,4.21435014879855,0.908587029462875,0.9500968659038486,0.0
86,1661,3.204,0,0,5,0.1325059823720325,0.0792981567099502,0.1632290146932575,0.03239193025848918,2.293811950777163,1.1472043154572835,2.991370181595665,0.6571926648017404,0.9575828312593117,0.0
56,15471,1.99,0,0,5,0.1833511112548789,0.1019768571255991,0.4800116093014795,0.1361151921118131,2.2332530104286974,1.4988398519106985,3.843641338188004,0.8071848716892154,0.9497607940253704,0.0
26,13083,1.18,0,0,5,0.1644194553779859,0.0651609951716016,0.1889898963043395,0.04664228074802283,2.156622055384039,1.1195381795283936,2.2839419632345037,0.4731577961221579,0.9234391746420572,0.0
76,18638,2.624,0,0,5,0.3299461764892112,0.2088095803135892,0.4451960306219777,0.09194000291889902,2.039632220706732,0.8773809403175528,2.56708695933934,0.641151422646276,0.8362783996681931,0.0
37,15340,1.516,0,0,5,0.1897869219235233,0.1680402020450488,0.5538045527616983,0.14621745978568013,2.030922683731737,0.9083265509479012,3.293193694502825,0.9326668790744759,0.9145377128823092,0.0
38,7011,1.556,0,0,5,0.177253699291024,0.1163081328036567,0.3250261797073797,0.07319595929314716,2.019007854790122,1.1489691794774834,4.080679972292132,0.9884460724436696,0.9192929917834026,0.0
79,17995,2.83,0,0,5,0.6509353195399894,0.3613465328547985,0.8155711156583746,0.15291047796533128,2.0149701063077603,1.0289785152730444,2.6550431075575536,0.5316600075471887,0.7647591748164436,0.0
67,10222,2.296,0,0,5,0.1731337730902397,0.1131971952050489,0.268036947731802,0.049803560942376555,2.0016032625384232,0.8092478178460684,3.25443566801669,0.8426789437427452,0.922425177867759,0.0
41,13689,1.6,0,0,5,0.1728981372218688,0.0835657041708095,0.256503860003882,0.058686936527045395,1.963378081414236,1.5432847667850569,2.852224564900502,0.5556666916470824,0.9387592904604078,0.0
50,7158,1.819,0,0,5,0.1915600811243465,0.1678588810925807,0.2644828132114996,0.04375379901360797,1.9261870778433667,1.2506042600736336,3.8917265035604847,0.8869978406145648,0.9176344141235102,0.0
54,15343,1.898,0,0,5,0.2644493311818185,0.0550197917984647,0.4600291487675633,0.13572320564304705,1.873468647241554,1.142644327854654,3.884497167830742,0.9906491970100549,0.9162630728578868,0.0
77,8396,2.625,0,0,5,0.1710175995131028,0.0745892583810008,0.1777671257899054,0.040415477214664146,1.864261088447243,1.1833765007042094,2.8391194318077484,0.6115598574546405,0.9229102940595528,0.0
66,8013,2.262,0,0,5,0.1760112859609278,0.0972651707812503,0.3147415829906864,0.08169729493323807,1.822092585817571,0.7626274786516466,3.102072854833404,0.8484216724285143,0.9025622462049312,0.0
16,9116,1.026,0,0,5,0.0821123229175539,0.0532631246368706,0.1076139528607732,0.020061850672024057,1.7717211213387334,1.6831026254942405,3.996370352135178,0.879316638142561,0.9568990747549068,0.0
32,6134,1.385,0,0,5,0.2160099149599695,0.1508255437234677,0.3578878546838862,0.07837354261956846,1.7658548076116216,1.24738411883174,3.5990632746297213,0.8114711654857715,0.8879829010116979,0.0
90,1571,3.866,0,0,5,0.1445629365418952,0.1026242366512566,0.2686456981401778,0.06057008124632997,1.7328834312154446,0.8941106933307078,2.168073561455764,0.479786812853789,0.916941471898116,0.0
83,282,2.93,0,0,5,0.3092359776331195,0.0720562552130657,0.4075719587515892,0.11303301472732434,1.7285289829800583,0.8556263506569285,2.0632306416614274,0.4552607043366812,0.8587383568559451,0.0
40,10139,1.595,0,0,5,0.2078754296906939,0.1111723022278246,0.308267016842898,0.06263342995150455,1.728226361343017,0.7278389790866434,2.315802553373554,0.613479037310265,0.8969929490942438,0.0
75,20365,2.593,0,0,5,0.1398879611918139,0.0850984260087562,0.2112815719204774,0.045208229853719896,1.7049021087155003,0.680262141835602,2.090838619813693,0.5542612179948111,0.9082230490488332,0.0
10,5210,0.904,0,0,5,0.1857912363265458,0.0833505567731457,0.2258198232078853,0.06046858481641341,1.63842473179965,1.1397662776573596,3.1844191378937525,0.7013684595241617,0.9431767729299272,0.0
70,15039,2.414,0,0,5,0.1915540467557462,0.1229693337260366,0.3252858840690232,0.07536781346122202,1.5740503215421568,0.7308165095960834,2.4431198447950315,0.5718855244057288,0.9179096175297792,0.0
11,7482,0.932,0,0,5,0.2055034186829042,0.1226536864718866,0.2528577728071225,0.04377741746299494,1.5477057900825302,1.1284891051785786,2.359258296752434,0.4358413056779983,0.897091464493519,0.0
25,12155,1.172,0,0,5,0.2603251461723035,0.1371037877281777,0.4344127486162782,0.09659163139995214,1.5286552694851552,0.8733346862778454,2.387070614218867,0.5178864023504552,0.8714966601756345,0.0
