kappa_D_over_s_max,tau_H_over_s_min,endpoints_event_in_at_least_1_of_5_seeds,endpoints_event_in_at_least_3_of_5_seeds,endpoints_event_in_all_5_seeds,majority_endpoint_rate
0.005,0.01,2,0,0,0.0
0.01,0.01,5,2,0,0.02
0.02,0.01,6,2,2,0.02
0.05,0.01,12,5,5,0.05
0.1,0.01,46,15,6,0.15
0.005,0.02,2,0,0,0.0
0.01,0.02,5,2,0,0.02
0.02,0.02,6,2,1,0.02
0.05,0.02,12,5,4,0.05
0.1,0.02,46,15,5,0.15
0.005,0.05,0,0,0,0.0
0.01,0.05,5,0,0,0.0
0.02,0.05,6,0,0,0.0
0.05,0.05,12,3,2,0.03
0.1,0.05,46,13,3,0.13
0.005,0.1,0,0,0,0.0
0.01,0.1,1,0,0,0.0
0.02,0.1,3,0,0,0.0
0.05,0.1,11,2,0,0.02
0.1,0.1,44,12,1,0.12
0.005,0.2,0,0,0,0.0
0.01,0.2,1,0,0,0.0
0.02,0.2,1,0,0,0.0
0.05,0.2,8,0,0,0.0
0.1,0.2,42,8,0,0.08
