audit_id,dataset_index,test_position,target_decile,target,raw__MedInc,std__MedInc,raw__HouseAge,std__HouseAge,raw__AveRooms,std__AveRooms,raw__AveBedrms,std__AveBedrms,raw__Population,std__Population,raw__AveOccup,std__AveOccup,raw__Latitude,std__Latitude,raw__Longitude,std__Longitude
0,18834,2829,1,0.557,2.0591,-0.9537871498438818,15.0,-1.0839591705245084,4.840046029919447,-0.25059300965263426,1.0609896432681243,-0.07854294914438714,1863.0,0.3612123525219688,2.143843498273878,-0.07925880171712575,41.74,2.8602501483479883,-122.61,-1.519490418754841
1,12797,1891,1,0.598,2.5643,-0.6913610208679201,37.0,0.6611628264478067,4.763975155279503,-0.2825239640196759,0.9782608695652174,-0.2720771874787576,1147.0,-0.24871444720818003,3.562111801242236,0.03526931555227014,38.62,1.4004630118484898,-121.45,-0.9403420475869437
2,19817,2969,1,0.656,2.5521,-0.6976983106017022,21.0,-0.608016807713877,4.790291262135923,-0.2714777073396024,1.0097087378640777,-0.19850859742185387,1721.0,0.2402492162626376,3.341747572815534,0.017474445468512557,36.55,0.4319503924401699,-119.29,0.13807216079465948
3,2319,337,1,0.682,2.3173,-0.8196651654780992,25.0,-0.2907218991734561,4.9152892561983474,-0.21900946291267123,1.115702479338843,0.04945129738084282,1482.0,0.03665633199517173,3.06198347107438,-0.005117088012788774,36.82,0.5582781254064739,-119.7,-0.06662683246295827
4,2961,430,1,0.699,2.575,-0.6858029061014059,20.0,-0.6873405348489823,4.788018433179723,-0.27243173341105215,1.0952380952380953,0.0015772771017166344,4584.0,2.679104562110984,2.3471582181259603,-0.06284071493546471,35.35,-0.1295061985211729,-119.06,0.25290330335381384
5,9528,1405,1,0.7,2.3125,-0.8221585253733578,38.0,0.7404865535829118,4.45,-0.41431588048004375,0.95,-0.33819016874465985,196.0,-1.0588267189167995,3.2666666666666666,0.01141150603306652,39.12,1.6344032580823835,-123.19,-1.8090646043387897
6,2903,420,1,0.725,2.0455,-0.9608516695471143,52.0,1.851018733474385,3.8979591836734695,-0.6460364988941114,1.0612244897959184,-0.07799355330727084,106.0,-1.1354934954191924,2.163265306122449,-0.07769045031125327,35.39,-0.1107909788224618,-119.02,0.2728739368423652
7,2561,372,1,0.741,1.755,-1.1117518882080741,47.0,1.454400097798859,4.5167173252279635,-0.38631110365279603,1.0182370820668694,-0.17855753897309748,765.0,-0.5741223208072259,2.325227963525836,-0.0646116286372897,40.8,2.420442485428266,-124.15,-2.288359808063951
8,9579,1411,1,0.797,2.4012,-0.7760833123088927,18.0,-0.8459879891191927,5.234793187347932,-0.08489682790070599,1.0206812652068127,-0.17283965991885955,5303.0,3.2915869210578794,3.225669099756691,0.008100867177922924,37.37,0.8156123962637557,-120.5,-0.46603950223392165
9,12279,1816,1,0.819,1.4063,-1.292884095599044,22.0,-0.5286930805787718,4.1732776617954075,-0.5304708267110971,1.0375782881002087,-0.13331106171268414,1304.0,-0.11497351486511667,2.722338204592902,-0.0325441501759723,33.94,-0.7892176929007547,-116.96,1.3013615615026006
10,5210,775,2,0.904,1.5114,-1.2382899028924452,39.0,0.8198102807180171,4.59927797833935,-0.3516560473057961,1.0180505415162455,-0.17899392865672928,975.0,-0.39523317563497556,3.51985559566787,0.031857039005405326,33.92,-0.7985753027501087,-118.28,0.6423306563805051
11,7482,1107,2,0.932,2.0658,-0.9503068349900835,30.0,0.10589673650207003,5.461904761904762,0.010433866766937893,1.2380952380952381,0.3357747648194635,1219.0,-0.1873810260062656,5.804761904761905,0.2163679789804507,33.93,-0.7938964978254317,-118.23,0.6672939482411889
12,13055,1942,2,0.961,2.7356,-0.6023792396058807,22.0,-0.5286930805787718,5.237076648841355,-0.08393833879314011,1.103386809269162,0.020640235402906704,1501.0,0.05284154036789914,2.6755793226381464,-0.03632002721185608,38.61,1.3957842069238129,-121.28,-0.8554668552606128
13,12827,1900,2,0.962,4.0625,0.08687893643965347,10.0,-1.4805778062000345,5.916859122401847,0.20140218404839827,1.0623556581986142,-0.07534731783870445,1478.0,0.03324891970617648,3.4133949191685913,0.023260117804268794,38.7,1.4378934512459154,-121.42,-0.925364072470532
14,2997,439,2,1.002,2.5575,-0.6948932807195362,12.0,-1.321930351929824,5.202676864244742,-0.09837774096104611,1.0497131931166348,-0.10492287832140249,1294.0,-0.12349204558760478,2.4741873804971317,-0.052582845691521496,35.32,-0.14354261329520704,-119.03,0.2678812784702256
15,5030,750,2,1.01,1.9732,-0.9984079029694461,47.0,1.454400097798859,4.961038961038961,-0.19980590117520466,1.0746753246753247,-0.046526906736444176,864.0,-0.4897888666545936,2.8051948051948052,-0.025853307230094234,33.98,-0.7705024732020437,-118.32,0.6223600228919608
16,9116,1342,2,1.026,2.0547,-0.9560727297478688,13.0,-1.242606624794719,4.867783985102421,-0.2389499283107312,1.2104283054003724,0.2710512290231026,1949.0,0.43447171673536655,3.629422718808194,0.04070481223817235,34.58,-0.4897741777213706,-118.12,0.7222131903346963
17,20015,2995,2,1.034,2.7298,-0.605392049479318,25.0,-0.2907218991734561,5.968253968253968,0.22297530891876086,1.0761904761904761,-0.042982387927316665,1003.0,-0.37138128961200884,3.184126984126984,0.004746254880306045,36.09,0.21672536590499067,-119.08,0.24291798660954173
18,1857,260,2,1.059,2.4605,-0.7452799286028858,20.0,-0.6873405348489823,5.200389105058366,-0.09933803403679566,1.046692607003891,-0.11198918435360089,1282.0,-0.13371428245459052,2.4941634241245136,-0.0509697385929936,41.76,2.8696077581973425,-124.17,-2.2983451248082236
19,19048,2855,2,1.075,3.2672,-0.3262396312059968,32.0,0.2645441907722805,5.204379562043796,-0.09766302897725743,1.0705596107055961,-0.05615513561838097,1154.0,-0.24275147570243835,2.807785888077859,-0.02564407189453467,38.45,1.3209233281289685,-121.83,-1.1300630657281496
20,9519,1403,3,1.089,1.6571,-1.1626060410717851,31.0,0.18522046363717526,4.289137380191693,-0.4818383980897556,1.0782747603833867,-0.03810645014059313,1367.0,-0.06130677131344156,2.18370607028754,-0.07603981606209467,39.15,1.6484396728564177,-123.21,-1.8190499210830617
21,2993,438,3,1.098,3.6852,-0.10910954032723173,3.0,-2.035843896145771,5.698989898989899,0.10995099114865473,1.0484848484848486,-0.10779644615136424,1353.0,-0.07323271432492491,2.7333333333333334,-0.031656270646308764,35.3,-0.15290022314456425,-119.09,0.23792532823740212
22,11936,1761,3,1.16,3.1458,-0.38930085855691077,42.0,1.0577814621233328,4.645320197044335,-0.3323297020864883,0.8423645320197044,-0.5899906896630314,466.0,-0.8288263894096204,2.2955665024630543,-0.06700685335173195,33.94,-0.7892176929007547,-117.4,1.0816845931285641
23,9470,1395,3,1.162,3.2171,-0.35226407511275787,16.0,-1.0046354433894031,4.871980676328502,-0.23718835587362141,1.0217391304347827,-0.17036490860813874,1177.0,-0.2231588550407157,2.842995169082126,-0.022800849173285027,39.44,1.7841250156720756,-123.79,-2.1086241066670173
24,16444,2494,3,1.167,2.8942,-0.5199944730667128,27.0,-0.13207444490324566,5.229166666666667,-0.08725857509986781,1.0,-0.2212210480434483,470.0,-0.8254189771206252,2.4479166666666665,-0.05470426050988071,38.13,1.1712015705392764,-121.3,-0.865452172004885
25,12155,1793,3,1.172,3.125,-0.40010541810303113,12.0,-1.321930351929824,5.786377708978328,0.14663225958658926,1.1021671826625388,0.017787062367696026,1007.0,-0.36797387732301357,3.1176470588235294,-0.0006221374508765701,33.66,-0.9202242307917358,-117.22,1.1715524438270346
26,13083,1945,3,1.18,2.7679,-0.5856010053107032,18.0,-0.8459879891191927,6.1354466858789625,0.29315490212383366,1.0461095100864553,-0.11335327102792207,815.0,-0.5315296671947853,2.3487031700288186,-0.06271595685384095,38.56,1.3723901823004248,-121.37,-0.9004007806098481
27,12928,1921,3,1.216,3.5852,-0.16105453814511814,36.0,0.5818390993127014,5.4411764705882355,0.0017331106987644592,0.9575163398692811,-0.3206065754366344,846.0,-0.5051222219550722,2.764705882352941,-0.029122872018110226,38.65,1.414499426622524,-121.3,-0.865452172004885
28,15342,2297,3,1.256,3.676,-0.11388848012647722,35.0,0.5025153721775962,4.770562770562771,-0.2797587947746362,1.0432900432900434,-0.11994908206837324,1435.0,-0.003380762400522399,3.106060606060606,-0.001557767626063543,33.22,-1.126091647477561,-117.37,1.0966625682449758
29,13936,2087,3,1.286,5.2185,0.6873631112144196,16.0,-1.0046354433894031,11.028571428571428,2.3470571822103334,2.0095238095238095,2.1404411984952976,853.0,-0.4991592504493305,2.707936507936508,-0.03370711715485043,34.24,-0.6488535451604166,-117.28,1.1415964935942111
30,243,31,4,1.375,3.0536,-0.43719414654500205,49.0,1.6130475520690695,3.6653061224489796,-0.7436932475048461,0.9959183673469387,-0.23076954769252692,779.0,-0.5621963777957425,3.179591836734694,0.004380032289495042,37.78,1.0074433981755502,-122.21,-1.3197840838693558
31,12361,1835,4,1.375,1.7204,-1.129724857453063,5.0,-1.8771964418755607,11.29896907216495,2.460557320856125,2.8268041237113404,4.052372392833804,1050.0,-0.3313441952163147,2.1649484536082473,-0.07755453264868425,33.84,-0.8360057421475309,-116.48,1.5410091633651744
32,6134,912,4,1.385,2.25,-0.8546241490095368,34.0,0.42319164504249096,3.9812206572769955,-0.6110872712593497,1.0704225352112675,-0.05647580761920703,1609.0,0.14484167217077074,3.776995305164319,0.05262160572539128,34.07,-0.7283932288799412,-118.0,0.7821250908003433
33,1951,277,4,1.426,2.8807,-0.5270070477721275,17.0,-0.925311716254298,5.724288840262582,0.12057028983735857,1.0765864332603938,-0.04205609292124267,1158.0,-0.2393440634134431,2.533916849015317,-0.047759566795298386,38.73,1.4519298660199462,-120.84,-0.6357898868865833
34,10023,1477,4,1.444,2.8102,-0.5636282712337374,13.0,-1.242606624794719,5.693548387096774,0.10766690188624681,1.1187683284457477,0.056623490865587475,1816.0,0.3211752581262747,2.662756598240469,-0.037355488894569217,39.23,1.6858701122538398,-121.15,-0.7905622964228334
35,9457,1390,4,1.458,1.5278,-1.229770923250312,19.0,-0.7666642619840874,6.436123348017621,0.41936474029680726,1.497797356828194,0.9433173342681727,515.0,-0.7870855888694287,2.2687224669603525,-0.06917456508836367,39.83,1.9665984077345129,-123.84,-2.1335873985277014
36,2358,347,4,1.487,4.526,0.3276440013255566,19.0,-0.7666642619840874,7.042780748663102,0.6740108169736663,1.0106951871657754,-0.1962009152731356,517.0,-0.785381882724931,2.764705882352941,-0.029122872018110226,36.79,0.5442417106324398,-119.63,-0.03167822385799515
37,15340,2296,4,1.516,3.0704,-0.4284673869115972,18.0,-0.8459879891191927,5.365748709122203,-0.029927895182655033,1.0611015490533562,-0.07828115871838805,4127.0,2.2898077080932775,3.5516351118760756,0.03442330108109331,33.19,-1.1401280622515952,-117.29,1.1366038352220715
38,7011,1030,4,1.556,2.4607,-0.7451760386072501,32.0,0.2645441907722805,4.287515762925599,-0.48251907630161456,1.0416141235813368,-0.12386969916223811,3017.0,1.344250797897097,3.8045397225725095,0.05484587475857774,33.97,-0.7751812781267206,-118.07,0.7471764821953873
39,4943,740,4,1.563,2.1382,-0.9126986565699338,46.0,1.3750763706637537,2.935828877005348,-1.049893284592693,1.13903743315508,0.1040406779706154,1510.0,0.06050821801813844,4.037433155080214,0.0736525041485808,34.02,-0.7517872535033292,-118.28,0.6423306563805051
40,10139,1499,5,1.595,3.4954,-0.20770114618558003,8.0,-1.639225260470245,4.51063829787234,-0.388862791746395,1.1574468085106382,0.14710724693057903,1281.0,-0.13456613552683933,2.725531914893617,-0.032286251422203885,33.92,-0.7985753027501087,-117.89,0.8370443328938507
41,13689,2055,5,1.6,3.1513,-0.386443883676927,14.0,-1.1632828976596137,5.526096033402923,0.03737832574248759,1.0939457202505218,-0.001446082216537612,989.0,-0.3833072326234922,2.0647181628392484,-0.08564833723496193,34.14,-0.695641594407196,-117.2,1.1815377605713067
