family,seed,audit_id,official_test_index,true_class_id,output_scale_s,resolved,certification_pass,quadrature_order,numerical_tolerance,nested_quadrature_error,endpoint_change,R,D,H,chi,R_over_s,D_over_s,H_over_s,max_abs_transfer_entry,pot_conservation_error,bshap_reconstruction_error,ig_reconstruction_error,bshap_completeness_error,ig_completeness_error,margin_gap_error,interior_mobius_reconstruction_error,pot_order1_L1_over_s,pot_order1_max_abs_over_s,pot_order2_L1_over_s,pot_order2_max_abs_over_s,pot_order3_L1_over_s,pot_order3_max_abs_over_s,pot_order4_L1_over_s,pot_order4_max_abs_over_s,pot_order5_L1_over_s,pot_order5_max_abs_over_s,pot_order6_L1_over_s,pot_order6_max_abs_over_s,pot_order7_L1_over_s,pot_order7_max_abs_over_s,pot_order8_L1_over_s,pot_order8_max_abs_over_s,max_abs_pot_order_ge2_over_s,max_abs_pot_order_ge3_over_s
additive,20260920,0,280,0,16.847794894345476,True,True,32,1.6847794894345476e-07,3.207739629473849e-12,10.015200398836308,2.2020348507586124e-13,2.838205860809596e-15,2.1736527921505165e-13,,1.3070166538516373e-14,1.6846156298841018e-16,1.2901704975527963e-14,2.394909667405695e-15,1.609823385706477e-14,2.4424906541753444e-15,0.0,1.7763568394002505e-15,3.552713678800501e-15,2.1464311809419696e-15,0.0,0.5944517049051711,0.19114135794995332,1.1597912579028857e-15,1.0543556890026234e-16,3.373938204808395e-15,2.1087113780052468e-16,6.431569702916003e-15,2.635889222506558e-16,6.74787640961679e-15,4.2174227560104935e-16,5.2717784450131165e-15,6.853311978517052e-16,2.1087113780052465e-15,9.48920120102361e-16,6.326134134015741e-16,6.326134134015741e-16,9.48920120102361e-16,9.48920120102361e-16
additive,20260920,1,1403,0,16.847794894345476,True,True,32,1.6847794894345476e-07,1.389404147289497e-10,10.119106207852536,2.5748054482172784e-13,2.932574817902735e-15,2.545479700038251e-13,,1.528274450374182e-14,1.7406282758623667e-16,1.5108681676155586e-14,1.9539925233402757e-15,1.074140776324839e-14,5.329070518200751e-15,0.0,1.7763568394002505e-15,3.552713678800501e-15,5.99308962245275e-15,0.0,0.7058698478123021,0.24694844676436722,8.434845512020987e-16,1.0543556890026234e-16,3.0839903903326735e-15,1.5815335335039351e-16,7.22233646966797e-15,4.2174227560104935e-16,9.594636769923873e-15,5.798956289514428e-16,7.0114653318674455e-15,6.326134134015741e-16,2.2405058391305745e-15,6.326134134015741e-16,2.1087113780052468e-16,2.1087113780052468e-16,6.326134134015741e-16,6.326134134015741e-16
additive,20260920,2,1512,0,16.847794894345476,True,True,32,1.6847794894345476e-07,2.765457307596364e-11,9.482231245727517,1.952833397634804e-13,3.3567064471910828e-15,1.9192663331628931e-13,,1.159103259436178e-14,1.9923713864285433e-16,1.1391795455718925e-14,1.7763568394002505e-15,8.1601392309949e-15,6.661338147750939e-15,0.0,5.329070518200751e-15,0.0,6.211433483962364e-15,0.0,0.5944280703685851,0.19019366657499498,4.481011678261149e-16,1.0543556890026234e-16,2.425018084706034e-15,1.0543556890026234e-16,6.08890410399015e-15,2.3723003002559026e-16,6.431569702916003e-15,4.744600600511805e-16,4.612806139386477e-15,3.9538338337598375e-16,1.212509042353017e-15,4.744600600511805e-16,1.845122455754591e-16,1.845122455754591e-16,4.744600600511805e-16,4.744600600511805e-16
additive,20260920,3,3341,0,16.847794894345476,True,True,32,1.6847794894345476e-07,3.052662123081973e-09,10.58788972825262,2.7780013739111434e-13,3.0508664377883914e-15,2.7474927095332597e-13,,1.6488812876298176e-14,1.810840206045205e-16,1.6307728855693656e-14,2.4424906541753444e-15,1.3572476476042539e-14,6.217248937900877e-15,0.0,1.4210854715202004e-14,1.7763568394002505e-15,6.604769641258133e-15,0.0,0.7066441430267373,0.22851731026737757,8.962023356522298e-16,1.0543556890026234e-16,3.716603803734247e-15,2.635889222506558e-16,8.039462128645004e-15,3.690244911509182e-16,1.0174532398875315e-14,5.798956289514428e-16,6.853311978517052e-15,7.907667667519675e-16,2.293223623580706e-15,7.907667667519675e-16,3.426655989258526e-16,3.426655989258526e-16,7.907667667519675e-16,7.907667667519675e-16
additive,20260920,4,4116,0,16.847794894345476,True,True,32,1.6847794894345476e-07,2.5886126575613844e-11,10.17025819129834,2.8362682572928104e-13,3.155676778089314e-15,2.804711489511917e-13,,1.683465566312616e-14,1.87305032965972e-16,1.6647350630160185e-14,2.6645352591003757e-15,1.2434497875801753e-14,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.513075379274856e-15,0.0,0.6036551522069941,0.19514805059506873,9.48920120102361e-16,1.5815335335039351e-16,3.795680480409444e-15,2.1087113780052468e-16,8.487563296471118e-15,3.690244911509182e-16,1.0754428027826759e-14,5.798956289514428e-16,7.380489823018364e-15,7.907667667519675e-16,1.897840240204722e-15,7.907667667519675e-16,1.5815335335039351e-16,1.5815335335039351e-16,7.907667667519675e-16,7.907667667519675e-16
additive,20260920,5,5544,0,16.847794894345476,True,True,32,1.6847794894345476e-07,7.117595401950894e-11,12.555441368636854,2.6682769750321774e-13,3.549409443608164e-15,2.632782880596096e-13,,1.5837544270720647e-14,2.1067501509051675e-16,1.5626869255630128e-14,2.575717417130363e-15,1.1018963519404679e-14,1.3322676295501878e-14,0.0,1.5987211554602254e-14,1.7763568394002505e-15,1.3434755953225942e-14,0.0,0.8528868856818371,0.2816607442095558,1.2915857190282136e-15,1.317944611253279e-16,3.795680480409444e-15,1.845122455754591e-16,6.74787640961679e-15,3.1630670670078703e-16,8.672075542046578e-15,6.326134134015741e-16,6.08890410399015e-15,6.326134134015741e-16,2.2668647313556404e-15,5.271778445013116e-16,3.1630670670078703e-16,3.1630670670078703e-16,6.326134134015741e-16,6.326134134015741e-16
additive,20260920,6,6708,0,16.847794894345476,True,True,32,1.6847794894345476e-07,1.7256140960597577e-11,7.40325189929009,2.74845424197423e-13,3.2341854062592364e-15,2.7161123879116376e-13,,1.6313436026554887e-14,1.919649085557604e-16,1.612147111799913e-14,2.5234444163875955e-15,1.585884201737997e-14,2.6645352591003757e-15,0.0,1.7763568394002505e-15,8.881784197001252e-16,2.7332633511009804e-15,0.0,0.44087559663648457,0.1901313350919344,1.212509042353017e-15,1.5815335335039351e-16,3.953833833759838e-15,2.1087113780052468e-16,7.169618685217839e-15,3.1630670670078703e-16,8.54028108092125e-15,4.744600600511805e-16,7.2750542541181e-15,8.962023356522298e-16,2.846760360307083e-15,9.48920120102361e-16,2.635889222506558e-16,2.635889222506558e-16,9.48920120102361e-16,9.48920120102361e-16
additive,20260920,7,7346,0,16.847794894345476,True,True,32,1.6847794894345476e-07,3.241851231905457e-13,4.331529926293918,3.3041069880113125e-13,2.8132258427555307e-15,3.275974729583757e-13,,1.9611510044678012e-14,1.669788753007503e-16,1.9444531169377264e-14,1.887379141862766e-15,1.3072876114961218e-14,1.9984014443252818e-15,0.0,8.881784197001252e-16,1.7763568394002505e-15,1.648416852752972e-15,0.0,0.5374323904133901,0.19550914815298545,1.3179446112532791e-15,1.317944611253279e-16,4.691882816061674e-15,2.635889222506558e-16,9.067458925422561e-15,4.2174227560104935e-16,1.1439759225678463e-14,5.008189522762461e-16,8.434845512020986e-15,6.062545211765085e-16,3.426655989258526e-15,6.062545211765085e-16,7.907667667519675e-16,7.907667667519675e-16,7.907667667519675e-16,7.907667667519675e-16
additive,20260920,8,7393,0,16.847794894345476,True,True,32,1.6847794894345476e-07,2.213669247908001e-10,1.25741241213629,1.5691120691134552e-13,3.6032849984192146e-15,1.533079219129263e-13,,9.313456621199055e-15,2.1387279587719597e-16,9.09958382532186e-15,1.5543122344752192e-15,9.527101330064625e-15,6.217248937900877e-15,0.0,6.217248937900877e-15,1.7763568394002505e-15,6.082436142053537e-15,0.0,0.5872899261513124,0.19364581505570225,1.0543556890026233e-15,1.0543556890026234e-16,2.3723003002559024e-15,1.5815335335039351e-16,4.111987187110231e-15,1.845122455754591e-16,4.533729462711281e-15,3.1630670670078703e-16,3.663886019284116e-15,4.481011678261149e-16,1.845122455754591e-15,4.744600600511805e-16,6.062545211765085e-16,6.062545211765085e-16,6.062545211765085e-16,6.062545211765085e-16
additive,20260920,9,8134,0,16.847794894345476,True,True,32,1.6847794894345476e-07,2.5132534942073903e-11,11.969078247023772,2.5695530359555395e-13,3.0335522453805482e-15,2.539217513501734e-13,,1.525156883775896e-14,1.8005633760407903e-16,1.507151250015488e-14,2.854859206178974e-15,9.853229343548264e-15,8.881784197001252e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,9.17149953866534e-15,0.0,0.7419442584723405,0.2144321496251777,1.2652268268031481e-15,1.0543556890026234e-16,3.953833833759838e-15,2.1087113780052468e-16,6.009827427314953e-15,3.1630670670078703e-16,6.589723056266396e-15,5.271778445013116e-16,5.0609073072125925e-15,4.744600600511805e-16,1.5288157490538038e-15,3.1630670670078703e-16,5.271778445013116e-16,5.271778445013116e-16,5.271778445013116e-16,5.271778445013116e-16
